id,category,question,answer
"1","Admissions","How do I apply for admission?","Apply through the college admission portal, complete the form, upload required documents, and pay the application fee before the deadline."
"2","Admissions","What are the eligibility criteria for admission?","Eligibility depends on the programme; review the current prospectus and submit qualifying examination marks and required entrance scores."
"3","Admissions","Which documents are required for admission?","Keep your marksheets, transfer certificate, ID proof, photographs, entrance scorecard, and category certificate if applicable."
"4","Admissions","Can I change my course after admission?","Course changes are considered only during the notified window and depend on eligibility, seats, and academic approval."
"5","Admissions","What is the admission application deadline?","Application deadlines are published on the official admissions noticeboard and portal each admission cycle."
"6","Admissions","Is there an entrance examination for admission?","Some programmes use entrance examinations while others use merit; please check the programme-specific admission notice."
"7","Admissions","How can I check my admission status?","Sign in to the admissions portal with your application number to view your application and admission status."
"8","Admissions","Can international students apply?","Yes. International applicants should use the international admissions process and submit passport and visa-related documents."
"9","Admissions","Is direct admission available?","Direct admission, where permitted, is subject to institutional policy, merit criteria, and seat availability."
"10","Admissions","How do I correct an error in my application?","Contact the admissions office promptly with your application number; corrections are allowed only before verification closes."
"11","Admissions","What is the counselling process?","Eligible applicants select preferences, verify documents, receive seat allotment, and confirm their seat by the specified date."
"12","Admissions","Can I defer my admission?","Deferral requests are reviewed case by case. Contact admissions before the academic session begins."
"13","Fees","How can I pay my college fees?","Pay securely through the student portal using the available online payment methods or follow the accounts office instructions."
"14","Fees","What is the fee payment deadline?","The fee due date is shown in your student portal and official fee circular. Pay before it to avoid late charges."
"15","Fees","Are instalments available for fee payment?","Instalments may be available under the college fee policy; submit a request to the accounts office before the deadline."
"16","Fees","Is there a late fee for delayed payment?","Yes, a late fee may apply after the notified due date according to the current fee policy."
"17","Fees","How can I download my fee receipt?","Log in to the student portal, open Fees or Payments, and download the receipt for the completed transaction."
"18","Fees","Can I get a fee refund?","Refunds follow the approved refund policy. Submit a written request with payment proof to the accounts office."
"19","Fees","What does the tuition fee include?","Tuition generally covers academic instruction; charges for transport, hostel, examinations, or special activities may be separate."
"20","Fees","How do I check my outstanding fee balance?","Your outstanding balance appears on the Fees dashboard in the student portal."
"21","Fees","Can my parent pay fees on my behalf?","Yes. A parent may pay using your student ID or registered fee payment link."
"22","Fees","What should I do if payment fails?","Do not pay again immediately. Check transaction status, retain the reference number, and contact accounts if the amount was debited."
"23","Fees","Are examination fees separate?","Examination fees are usually collected separately when the examination form is opened."
"24","Fees","Where is the accounts office located?","The accounts office location and working hours are listed on the campus directory and student portal."
"25","Attendance","What is the minimum attendance requirement?","Students should maintain the minimum attendance percentage specified in the academic regulations for each course."
"26","Attendance","How can I check my attendance?","Open the Attendance section of the student portal to see subject-wise attendance and recent updates."
"27","Attendance","What happens if my attendance is short?","You may receive a warning and can be restricted from examinations as per academic regulations."
"28","Attendance","Can medical leave be counted for attendance?","Submit valid medical documents to your department promptly; consideration follows the approved attendance policy."
"29","Attendance","How often is attendance updated?","Faculty normally update attendance after classes, and the portal refreshes according to departmental schedules."
"30","Attendance","Can I request correction of attendance?","Yes. Contact the course faculty with the date and relevant evidence as soon as you identify an error."
"31","Attendance","Does attendance affect exam eligibility?","Yes. Minimum attendance is commonly required to be eligible to appear in end-semester examinations."
"32","Attendance","Is attendance compulsory for labs?","Yes. Practical and laboratory attendance is compulsory and is tracked separately in many programmes."
"33","Attendance","How do I get attendance condonation?","Apply through your department with supporting documents during the official condonation period, if eligible."
"34","Attendance","Are extracurricular activities counted as attendance?","Approved institutional activities may be considered when officially authorized; obtain confirmation from your department."
"35","Attendance","Can parents view attendance?","Where parent access is enabled, guardians can view attendance through the portal using authorized credentials."
"36","Attendance","What is the attendance policy for online classes?","Online attendance is recorded through the designated learning platform and follows the same academic policy."
"37","Examinations","When are semester examinations held?","The examination schedule is published in the academic calendar and on the examination cell noticeboard."
"38","Examinations","How do I fill the examination form?","Log in to the student portal during the form window, verify subjects, pay any required fee, and submit."
"39","Examinations","How can I download my admit card?","Once released, download your admit card from the examinations section of the student portal."
"40","Examinations","What should I bring to the examination hall?","Bring your admit card, college ID, and permitted stationery. Follow all instructions printed on the admit card."
"41","Examinations","When will results be declared?","Result declaration dates are announced by the examination cell after evaluation and approval are completed."
"42","Examinations","How can I apply for revaluation?","Submit the revaluation application and fee through the portal within the notified result review period."
"43","Examinations","What is the passing criteria?","Passing criteria are defined in programme regulations and may include separate minimum marks for theory and practical components."
"44","Examinations","Can I see my answer sheet?","Answer script viewing, if offered, follows examination cell rules and must be requested within the published timeline."
"45","Examinations","What happens if I miss an exam?","Notify the examination cell immediately. Eligibility for a supplementary or special exam depends on policy and documentation."
"46","Examinations","How do I apply for a supplementary exam?","Use the examination portal during the supplementary registration window and complete the required payment."
"47","Examinations","Are calculators allowed in exams?","Calculators are allowed only when expressly permitted for that subject; check the exam instructions."
"48","Examinations","Where can I find the exam timetable?","The official timetable is available in the student portal, examination cell notices, and department noticeboards."
"49","Timetable","Where can I view my class timetable?","Your current class timetable is available in the student portal and on your department noticeboard."
"50","Timetable","How often is the timetable updated?","Updates are made whenever needed; always check the latest version on the portal before attending class."
"51","Timetable","What should I do if two classes overlap?","Inform your class coordinator or department office immediately so they can verify the timetable."
"52","Timetable","Are timetable changes notified?","Important changes are communicated through the portal, department notices, or official class channels."
"53","Timetable","How do I find my classroom?","Check the room code beside each timetable entry and use campus signage or the department office for directions."
"54","Timetable","Does the timetable include laboratory sessions?","Yes. Laboratory and tutorial sessions are normally included with their room or lab number."
"55","Timetable","How can I find faculty consultation hours?","Faculty consultation hours are listed by departments or can be confirmed directly with the faculty member."
"56","Timetable","Is there a timetable for weekend classes?","Weekend classes, if scheduled, appear in the latest timetable and official department notifications."
"57","Timetable","Can I download the timetable as PDF?","Use the download option on the portal if available, or request the published PDF from your department."
"58","Timetable","What is the timetable for first-year students?","First-year timetables are posted in the respective department section of the portal before classes commence."
"59","Timetable","Why is my timetable not visible?","Confirm your enrollment and semester selection, then contact the department office if it still does not appear."
"60","Timetable","Where can I find the academic calendar?","The academic calendar is published on the college website and student portal."
"61","Library","What are the library working hours?","Library working hours are displayed at the library entrance and on the library page of the student portal."
"62","Library","How do I borrow a book from the library?","Present your college ID at the circulation desk and ensure that the book is eligible for issue."
"63","Library","How many books can I borrow?","The borrowing limit depends on your student category and is listed in the library rules."
"64","Library","How can I renew a library book?","Renew eligible books online through the library account or at the circulation desk before the due date."
"65","Library","What is the fine for late book return?","Late-return fines are calculated according to library policy and are shown by the circulation desk."
"66","Library","Can I access e-books from home?","Yes, students can access subscribed digital resources using their institutional login where remote access is enabled."
"67","Library","How do I reserve a book?","Search the library catalogue and place a reservation if the book is currently issued to another user."
"68","Library","What should I do if I lose a library book?","Report the loss immediately to the library. You may need to replace the book and pay applicable processing charges."
"69","Library","Is there a reading room in the library?","Yes, the library provides designated quiet reading spaces subject to its seating rules."
"70","Library","Can alumni use the library?","Alumni access depends on library policy; contact the librarian for current visitor and membership rules."
"71","Library","How can I access research journals?","Use the library's e-resources portal on campus or through authorized remote access."
"72","Library","Is printing available in the library?","Printing or photocopying services may be available in the library during posted service hours."
"73","Hostel","How do I apply for hostel accommodation?","Submit the hostel application through the designated portal or hostel office after admission confirmation."
"74","Hostel","What are the hostel fees?","Hostel fees vary by room type and facilities; see the current hostel fee notice for exact amounts."
"75","Hostel","Are hostel rooms shared?","Most hostel rooms are shared, although availability and room type depend on the hostel allocation policy."
"76","Hostel","What items should I bring to the hostel?","Bring personal bedding, toiletries, essential clothing, and any items listed in the hostel joining instructions."
"77","Hostel","What are the hostel entry timings?","Entry timings and curfew rules are listed in the hostel handbook and must be followed by all residents."
"78","Hostel","Is Wi-Fi available in the hostel?","Hostel Wi-Fi is provided where available, subject to acceptable-use rules and network maintenance."
"79","Hostel","How can I report a maintenance issue?","Submit a complaint through the hostel office or maintenance portal with your room number and issue details."
"80","Hostel","Can I change my hostel room?","Room changes are considered for valid reasons, subject to availability and warden approval."
